               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.036123,            0.025461,           0.0013862,             0.81432,             0.76374,             0.76164,              0.3255,            0.041703,            0.028913,           0.0010943,           0.0076679,           0.0076679,           0.0076679
                  36,            0.036168,            0.027903,           0.0013184,             0.76938,             0.73381,              0.6926,             0.28857,            0.043655,            0.030927,           0.0010705,            0.007543,            0.007543,            0.007543
                  37,            0.036606,            0.025724,           0.0013606,             0.78236,             0.74909,             0.73422,             0.31356,            0.043837,            0.030773,          0.00085718,            0.007416,            0.007416,            0.007416
                  38,            0.034445,            0.021929,           0.0011387,             0.75485,             0.73051,             0.67852,             0.30754,            0.044107,            0.032886,          0.00083029,           0.0072872,           0.0072872,           0.0072872
                  39,            0.035351,            0.027833,            0.001124,             0.79202,             0.76768,             0.74879,             0.32556,            0.042309,            0.030799,           0.0013666,           0.0071566,           0.0071566,           0.0071566
                  40,            0.035137,            0.026578,           0.0015098,             0.76549,             0.75108,             0.72235,             0.31871,            0.042012,            0.030006,            0.001004,           0.0070243,           0.0070243,           0.0070243
                  41,            0.034141,            0.024149,           0.0010902,             0.78661,             0.76107,             0.74716,             0.32832,             0.04073,            0.028608,           0.0011205,           0.0068906,           0.0068906,           0.0068906
                  42,            0.034142,            0.026651,           0.0010679,             0.81214,             0.80342,             0.77442,             0.36314,            0.039613,            0.029755,           0.0007372,           0.0067555,           0.0067555,           0.0067555
                  43,             0.03458,            0.025349,           0.0011133,              0.7523,             0.73148,             0.70072,             0.29263,            0.044669,            0.032439,            0.001176,           0.0066191,           0.0066191,           0.0066191
                  44,            0.033489,            0.024292,           0.0010896,              0.8153,             0.77869,             0.76504,              0.3379,            0.040688,               0.028,          0.00081694,           0.0064816,           0.0064816,           0.0064816
                  45,            0.033507,            0.025728,           0.0010888,              0.8301,             0.78435,             0.78255,             0.35768,            0.040039,            0.027745,          0.00074996,           0.0063432,           0.0063432,           0.0063432
                  46,            0.032891,            0.023765,           0.0010187,             0.80107,              0.7858,             0.76564,             0.34877,            0.040243,            0.029108,          0.00087596,            0.006204,            0.006204,            0.006204
                  47,            0.032946,            0.024336,           0.0008146,             0.77379,             0.75424,             0.71582,             0.29622,            0.043896,            0.031035,          0.00073923,            0.006064,            0.006064,            0.006064
                  48,            0.033904,            0.028079,          0.00089207,             0.78062,             0.80343,             0.74379,             0.33128,            0.042921,            0.031637,          0.00082134,           0.0059235,           0.0059235,           0.0059235
                  49,            0.032845,            0.026717,           0.0010004,             0.82256,             0.77875,             0.76975,             0.35678,            0.040857,            0.029408,          0.00083478,           0.0057826,           0.0057826,           0.0057826
                  50,            0.032798,            0.024497,          0.00095726,             0.78275,             0.78388,             0.75178,             0.32732,            0.041918,            0.030097,           0.0011257,           0.0056413,           0.0056413,           0.0056413
                  51,            0.032147,            0.023979,          0.00088834,             0.79324,             0.79698,              0.7617,             0.33702,            0.041005,            0.028906,           0.0007498,              0.0055,              0.0055,              0.0055
                  52,            0.032217,            0.023088,          0.00068516,             0.76945,             0.76479,             0.71509,             0.30616,            0.044413,               0.034,          0.00084717,           0.0053587,           0.0053587,           0.0053587
                  53,            0.031834,            0.024544,          0.00090726,             0.81615,             0.82542,             0.78268,             0.36331,            0.040071,            0.029164,          0.00087821,           0.0052174,           0.0052174,           0.0052174
                  54,            0.031734,            0.025799,          0.00080513,             0.78345,             0.78681,             0.73965,             0.32396,            0.043379,            0.034225,          0.00072016,           0.0050765,           0.0050765,           0.0050765
                  55,            0.032442,            0.025515,          0.00068088,             0.82918,             0.81073,             0.78708,             0.36675,            0.040228,            0.028548,          0.00077523,            0.004936,            0.004936,            0.004936
