               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097947,            0.032699,            0.025739,             0.99366,                 0.3,             0.32688,            0.039071,            0.087373,            0.021963,            0.018536,             0.00092,             0.00092,             0.09172
                   1,            0.071135,            0.033854,            0.019428,             0.88281,                 0.4,             0.39435,             0.13013,            0.071752,            0.017588,            0.012499,           0.0018496,           0.0018496,             0.08335
                   2,            0.064707,            0.036738,            0.016054,             0.99764,                 0.3,             0.39371,             0.15945,            0.074605,             0.01359,           0.0073027,           0.0027775,           0.0027775,            0.074978
                   3,            0.059062,            0.033595,           0.0098619,             0.27895,             0.46667,             0.32512,            0.068444,            0.070233,            0.012514,           0.0043076,           0.0037026,           0.0037026,            0.066603
                   4,            0.063591,            0.026721,           0.0066671,             0.37716,              0.8743,              0.5757,             0.13516,            0.071566,            0.011263,           0.0033006,           0.0046235,           0.0046235,            0.058224
                   5,            0.060913,            0.020027,           0.0054683,             0.47315,             0.81975,             0.58822,             0.17478,             0.07171,           0.0095611,           0.0019084,           0.0055391,           0.0055391,            0.049839
                   6,            0.059779,            0.019808,            0.004572,             0.40566,             0.65966,             0.56933,             0.21868,            0.069336,            0.008797,           0.0017854,           0.0064482,           0.0064482,            0.041448
                   7,             0.05874,            0.022869,           0.0053923,             0.42762,             0.73054,             0.74308,             0.23133,            0.065549,           0.0082131,           0.0020999,           0.0073495,           0.0073495,            0.033049
                   8,            0.053867,            0.021323,           0.0050496,             0.79343,             0.59615,             0.75286,             0.30527,            0.058222,           0.0078511,           0.0019375,           0.0082418,           0.0082418,            0.024642
                   9,            0.055775,            0.019718,           0.0040651,             0.59521,             0.63333,              0.6724,             0.22458,            0.060792,           0.0080735,           0.0022725,            0.009124,            0.009124,            0.016224
                  10,              0.0548,            0.019491,           0.0047535,             0.42597,             0.72668,             0.46264,             0.23756,            0.048373,           0.0087248,            0.038968,           0.0097798,           0.0097798,           0.0097798
                  11,            0.051955,            0.019401,           0.0045826,             0.61024,             0.99701,             0.78543,             0.42867,            0.046734,           0.0081848,           0.0013564,           0.0097798,           0.0097798,           0.0097798
                  12,            0.049813,            0.018215,           0.0037294,             0.59526,             0.83333,             0.66035,             0.34317,            0.043368,           0.0078702,           0.0013235,            0.009734,            0.009734,            0.009734
                  13,            0.048104,            0.019708,           0.0038975,              0.5263,             0.83333,             0.57608,             0.25466,            0.055106,           0.0081388,           0.0013701,            0.009684,            0.009684,            0.009684
