               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.035289,            0.026683,           0.0014562,             0.76731,             0.76628,             0.70317,             0.32079,             0.04364,            0.032261,          0.00069242,           0.0076679,           0.0076679,           0.0076679
                  36,            0.035145,            0.027363,           0.0010871,             0.74821,             0.74177,             0.69388,             0.28795,            0.045644,            0.033992,           0.0009412,            0.007543,            0.007543,            0.007543
                  37,            0.034421,            0.025419,           0.0014224,             0.75853,             0.73293,             0.69439,             0.32929,            0.042549,            0.032742,          0.00077449,            0.007416,            0.007416,            0.007416
                  38,            0.034553,            0.026823,           0.0013254,             0.73182,             0.74867,             0.68511,             0.30158,            0.044629,             0.03295,          0.00088376,           0.0072872,           0.0072872,           0.0072872
                  39,            0.034342,            0.027563,           0.0014389,             0.76625,             0.76817,             0.70918,             0.30787,            0.043367,             0.03377,          0.00097975,           0.0071566,           0.0071566,           0.0071566
                  40,            0.033375,            0.024407,          0.00094639,             0.76766,             0.77991,             0.72333,             0.31682,            0.043712,            0.034025,          0.00095893,           0.0070243,           0.0070243,           0.0070243
                  41,            0.033279,            0.025618,           0.0012512,                0.77,             0.75788,              0.7046,             0.31824,            0.042297,            0.032295,           0.0010004,           0.0068906,           0.0068906,           0.0068906
                  42,            0.033449,            0.025134,           0.0010997,             0.73323,             0.73449,              0.6751,             0.29873,             0.04623,            0.034896,          0.00084785,           0.0067555,           0.0067555,           0.0067555
                  43,            0.033293,            0.025501,           0.0010226,             0.76973,             0.77018,             0.70899,             0.32464,            0.042004,            0.033664,          0.00087065,           0.0066191,           0.0066191,           0.0066191
                  44,             0.03274,            0.024535,          0.00097937,             0.74875,             0.74081,             0.67767,             0.30573,            0.043772,            0.035025,          0.00097502,           0.0064816,           0.0064816,           0.0064816
                  45,            0.032478,            0.025483,           0.0010478,             0.78074,             0.75553,             0.70506,              0.3206,            0.043056,            0.034274,          0.00099261,           0.0063432,           0.0063432,           0.0063432
                  46,            0.033259,            0.025445,           0.0012403,             0.81504,             0.79021,             0.75574,             0.33266,            0.042145,            0.030698,          0.00086989,            0.006204,            0.006204,            0.006204
                  47,            0.032859,            0.024976,           0.0011122,             0.77995,             0.75097,             0.71989,             0.31817,            0.042449,            0.033169,          0.00076958,            0.006064,            0.006064,            0.006064
                  48,            0.032592,             0.02705,          0.00089674,             0.76373,              0.7555,             0.71366,             0.33462,            0.042624,            0.035467,          0.00071554,           0.0059235,           0.0059235,           0.0059235
                  49,            0.032199,            0.024007,          0.00086502,             0.79441,             0.79451,             0.75625,             0.34868,            0.040008,            0.030362,          0.00069185,           0.0057826,           0.0057826,           0.0057826
                  50,            0.031227,            0.023765,          0.00082897,             0.79056,             0.78569,             0.75148,             0.34436,            0.041558,            0.033332,          0.00078765,           0.0056413,           0.0056413,           0.0056413
                  51,            0.031335,            0.025002,          0.00088748,             0.75152,             0.76933,              0.7027,             0.32383,            0.043617,            0.034564,          0.00082132,              0.0055,              0.0055,              0.0055
                  52,            0.031185,            0.024973,          0.00073822,             0.78382,              0.7785,             0.73625,             0.32977,            0.042694,            0.034515,           0.0010991,           0.0053587,           0.0053587,           0.0053587
                  53,            0.031554,            0.024942,          0.00086313,             0.79932,             0.78402,             0.76339,             0.34117,            0.040912,            0.030764,          0.00094578,           0.0052174,           0.0052174,           0.0052174
                  54,            0.031622,            0.024896,          0.00080824,             0.79965,             0.79903,             0.75694,             0.34989,            0.040834,            0.032099,          0.00065867,           0.0050765,           0.0050765,           0.0050765
                  55,            0.031173,            0.024801,          0.00075331,             0.77292,             0.76137,               0.706,             0.32255,            0.042768,            0.033249,          0.00066295,            0.004936,            0.004936,            0.004936
                  56,            0.031345,            0.025389,           0.0009085,             0.79638,              0.7995,             0.74967,             0.33656,            0.041061,            0.031978,           0.0007164,            0.004796,            0.004796,            0.004796
                  57,            0.031199,            0.025129,          0.00087332,             0.78118,             0.77701,             0.74735,              0.3467,            0.041602,            0.032276,          0.00065664,           0.0046568,           0.0046568,           0.0046568
                  58,            0.030164,            0.023817,           0.0006488,             0.80494,             0.78926,             0.75513,             0.34299,            0.041484,            0.032636,          0.00069971,           0.0045184,           0.0045184,           0.0045184
                  59,            0.030251,            0.022629,          0.00067558,             0.76547,               0.776,             0.72329,             0.33212,            0.041809,            0.033339,          0.00075471,           0.0043809,           0.0043809,           0.0043809
                  60,            0.030316,            0.024851,          0.00075159,             0.75382,             0.74891,             0.68717,             0.31497,            0.043863,            0.038768,          0.00087432,           0.0042445,           0.0042445,           0.0042445
                  61,            0.029937,            0.023765,          0.00082737,             0.76024,             0.76029,             0.70613,             0.31579,            0.043448,            0.034661,          0.00077566,           0.0041094,           0.0041094,           0.0041094
                  62,            0.029651,            0.023104,          0.00080074,             0.75115,             0.75837,             0.67831,             0.31374,            0.044173,            0.037717,          0.00088447,           0.0039757,           0.0039757,           0.0039757
                  63,             0.02928,            0.022782,          0.00079813,             0.79949,              0.7843,             0.75032,             0.33651,            0.041881,            0.034299,          0.00068287,           0.0038434,           0.0038434,           0.0038434
                  64,            0.029286,            0.023236,          0.00061617,             0.78367,                 0.8,             0.74845,             0.34179,            0.041119,            0.033444,          0.00074643,           0.0037128,           0.0037128,           0.0037128
                  65,            0.029558,            0.023956,          0.00079881,             0.80489,             0.78536,             0.74813,             0.34912,            0.040635,            0.032274,          0.00067077,            0.003584,            0.003584,            0.003584
                  66,            0.029548,            0.022645,          0.00079646,             0.78133,             0.77656,             0.73111,             0.33198,             0.04198,            0.034182,          0.00072398,            0.003457,            0.003457,            0.003457
                  67,            0.029266,             0.02495,          0.00064027,             0.79489,             0.81076,             0.76014,             0.32509,            0.040802,            0.032932,          0.00060318,           0.0033321,           0.0033321,           0.0033321
                  68,            0.028566,              0.0242,          0.00055826,             0.76759,              0.7762,              0.7167,             0.31552,            0.043113,            0.036276,           0.0008685,           0.0032093,           0.0032093,           0.0032093
                  69,            0.028601,            0.023461,          0.00057759,             0.78738,             0.78282,             0.73193,             0.32723,            0.042437,             0.03451,          0.00078544,           0.0030888,           0.0030888,           0.0030888
                  70,            0.028636,            0.022874,          0.00063253,             0.77697,             0.76038,             0.71358,             0.32128,            0.043244,            0.036539,          0.00075079,           0.0029706,           0.0029706,           0.0029706
                  71,            0.028562,            0.024231,          0.00070044,             0.79211,             0.78628,             0.74463,             0.33458,            0.041903,             0.03324,          0.00080339,            0.002855,            0.002855,            0.002855
                  72,             0.02848,            0.023986,          0.00075135,               0.774,             0.77991,             0.72094,             0.32287,            0.042607,            0.035914,          0.00091535,           0.0027419,           0.0027419,           0.0027419
                  73,            0.027814,            0.022917,          0.00072373,             0.78545,             0.77698,             0.73032,             0.33702,            0.041863,            0.034719,          0.00095553,           0.0026316,           0.0026316,           0.0026316
